原始名称,中文名称,单位
BCU002-L-272-16,左外机轮速度传感器Ⅰ,
BCU002-L-272-17,右外机轮速度传感器Ⅰ,
BCU002-L-272-18,左外机轮速度传感器Ⅱ,
BCU002-L-272-19,右外机轮速度传感器Ⅱ,
BCU002-L-272-20,左外组合式伺服阀,
BCU002-L-272-21,右外组合式伺服阀,
BCU002-L-272-22,刹车控制单元外板Ⅰ,
BCU002-L-272-23,刹车控制单元外板Ⅱ,
BCU002-L-272-24,刹车控制单元外板Ⅲ,
BCU002-L-273-11,BCU外板防滑状态指示,
BCU003-L-005,左内机轮速度参考信号,
BCU003-L-006,右内机轮速度参考信号,
BCU004-L-005,左外机轮速度参考信号,
BCU004-L-006,右外机轮速度参考信号,
BETA,侧滑角_加,°
BETAM_BY,侧滑角,°
BRKTLI,左内刹车温度,°C
BRKTLO,左外刹车温度,°C
BRKTRI,右内刹车温度,°C
BRKTRO,右外刹车温度,°C
CPC1001-L-015,CPC1排气活门开度,
CPC1001-L-060,CPC1着陆机场高度,
CPC1001-L-127,CPC1座舱高度变化率,
CPC1001-L-150,CPC1座舱余压,
CPC1001-L-360,CPC1座舱高度,
CPC2001-L-015,CPC2排气活门开度,
CPC2001-L-060,CPC2着陆机场高度,
CPC2001-L-127,CPC2座舱高度变化率,
CPC2001-L-150,CPC2座舱余压,
CPC2001-L-360,CPC2座舱高度,
CPDC1001-L-272-23,1发滑油引射关,
CPDC1001-L-272-24,2发滑油引射关,
CPDC1001-L-272-25,3发滑油引射关,
CPDC1001-L-272-26,4发滑油引射关,
CPDC2001-L-271-25,1发停车信号,
CPDC2001-L-271-26,2发停车信号,
CPDC2001-L-271-27,3发停车信号,
CPDC2001-L-271-28,4发停车信号,
CPSU001-L-017,CPSU手动通道排气活门开度,
CPSU001-L-151,CPSU座舱余压(Pa),
CPSU001-L-220,CPSU着陆机场高度,
CPSU001-L-226,CPSU输入着陆机场高度,
CPSU001-L-361,CPSU座舱高度,
DMLGL,左主收放作动筒行程,mm
DMLGR,右主收放作动筒行程,mm
DNLG,前起收放作动筒行程,mm
DPEH,应急刹车手柄位置,
DS1,前起支柱行程,mm
DS2,左主起支柱行程,mm
DS3,右主起支柱行程,mm
Elev_l_pos,左升降舵位置,°
Elev_r_pos,右升降舵位置,°
FAJ,左驾盘力_加,N
FECU1002-L-115,右襟翼_FE,°
FECU1002-L-137,左襟翼_FE,°
FECU2002-L-115,右襟翼_FE,°
FECU2002-L-137,左襟翼_FE,°
FEJ,左驾杆力_加,N
FQC001-L-247,总余油量,kg
FQC001-L-261,Ⅰ号油箱油量,kg
FQC001-L-262,Ⅱ号油箱油量,kg
FQC001-L-263,Ⅲ号油箱油量,kg
FQC001-L-264,Ⅳ号油箱油量,kg
FRJL,左驾左脚蹬力_加,N
FRJR,左驾右脚蹬力_加,N
FRLJLBRKFLL,左架左刹车脚蹬力,N
FRLJRBRKFRL,左架右刹车脚蹬力,N
FTC001-L-256-11TO22,1号水箱水量,kg
FTC001-L-257-11TO22,2号水箱水量,kg
FTC001-L-260-11TO22,3号水箱水量,kg
FTC001-L-261-11TO22,4号水箱水量,kg
FTC001-L-263-13,左阀到位低位,
FTC001-L-263-14,左阀到位高位,
FTC001-L-263-15,右阀到位低位,
FTC001-L-263-16,右阀到位高位,
FTC001-L-263-17,1号水箱内舱门收起到位反馈,
FTC001-L-263-18,1号水箱外舱门收起到位反馈,
FTC001-L-263-19,2号水箱内舱门收起到位反馈,
FTC001-L-263-20,2号水箱外舱门收起到位反馈,
FTC001-L-263-21,3号水箱内舱门收起到位反馈,
FTC001-L-263-22,3号水箱外舱门收起到位反馈,
FTC001-L-263-23,4号水箱内舱门收起到位反馈,
FTC001-L-263-24,4号水箱外舱门收起到位反馈,
FTC001-L-263-25,1号水箱内舱门解锁到位反馈,
FTC001-L-263-26,1号水箱内舱门上锁到位反馈,
FTC001-L-263-27,1号水箱外舱门解锁到位反馈,
FTC001-L-263-28,1号水箱外舱门上锁到位反馈,
FTC001-L-264-11,2号水箱内舱门解锁到位反馈,
FTC001-L-264-12,2号水箱内舱门上锁到位反馈,
FTC001-L-264-13,2号水箱外舱门解锁到位反馈,
FTC001-L-264-14,2号水箱外舱门上锁到位反馈,
FTC001-L-264-15,3号水箱内舱门解锁到位反馈,
FTC001-L-264-16,3号水箱内舱门上锁到位反馈,
FTC001-L-264-17,3号水箱外舱门解锁到位反馈,
FTC001-L-264-18,3号水箱外舱门上锁到位反馈,
FTC001-L-264-19,4号水箱内舱门解锁到位反馈,
FTC001-L-264-20,4号水箱内舱门上锁到位反馈,
FTC001-L-264-21,4号水箱外舱门解锁到位反馈,
FTC001-L-264-22,4号水箱外舱门上锁到位反馈,
FTC001-L-273-12,无/有3t分投模式选择指令,
FTC001-L-273-13,无/有3t连投模式选择指令,
FTC001-L-273-14,无/有6t分投模式选择指令,
FTC001-L-273-15,无/有6t连投模式选择指令,
FTC001-L-273-16,无/有齐投模式选择指令,
FTC001-L-273-19,无/有汲水斗收指令,
FTC001-L-273-25,无/有汲水斗放指令,
FTC001-L-273-27,无/有主驾驶投水指令,
FTC001-L-273-28,无/有副驾驶投水指令,
FTC001-L-275-14,左斗放下到位,
FTC001-L-275-15,左斗收起到位,
FTC001-L-275-16,右斗放下到位,
FTC001-L-275-17,右斗收起到位,
FTC001-L-276-19,1内舱门收到位,
FTC001-L-276-20,1外舱门收到位,
FTC001-L-276-21,2内舱门收到位,
FTC001-L-276-22,2外舱门收到位,
FTC001-L-276-23,3内舱门收到位,
FTC001-L-276-24,3外舱门收到位,
FTC001-L-276-25,4内舱门收到位,
FTC001-L-276-26,4外舱门收到位,
FTC001-L-277-11,1内解锁,
FTC001-L-277-12,1内上锁,
FTC001-L-277-13,1外解锁,
FTC001-L-277-14,1外上锁,
FTC001-L-277-15,2内解锁,
FTC001-L-277-16,2内上锁,
FTC001-L-277-17,2外解锁,
FTC001-L-277-18,2外上锁,
FTC001-L-277-19,3内解锁,
FTC001-L-277-20,3内上锁,
FTC001-L-277-21,3外解锁,
FTC001-L-277-22,3外上锁,
FTC001-L-277-23,4内解锁,
FTC001-L-277-24,4内上锁,
FTC001-L-277-25,4外解锁,
FTC001-L-277-26,4外上锁,
GGMPB31,3发螺旋桨桨叶角通道1,°
GGMPB32,3发螺旋桨桨叶角通道2,°
GNSU1001-L-076,高度_G1,m
GNSU1001-L-110,纬度_G1,°
GNSU1001-L-111,经度_G1,°
GNSU1001-L-112,地速_G1,km/h
GNSU1001-L-165,天向速度_G1,m/s
GNSU1001-L-166,北向速度_G1,km/h
GNSU1001-L-174,东向速度_G1,km/h
GNSU2002-L-076,高度_G2,m
GNSU2002-L-112,地速_G2,km/h
GNSU2002-L-165,天向速度_G2,m/s
GNSU2002-L-166,北向速度_G2,km/h
GNSU2002-L-174,东向速度_G2,km/h
GPS-L-004,GPS-WGS-84椭球高度_加,m
GPS-L-005,GPS海拔高度_加,m
GPS-L-006,GPS纬度第一部分_加,°
GPS-L-007,GPS纬度第二部分_加,°
GPS-L-010,GPS经度第一部分_加,°
GPS-L-011,GPS经度第二部分_加,°
GPS-L-012,GPS天向速度_加,m/s
GPS-L-013,GPS水平速度_加,m/s
GPS-L-014,GPS合成速度_加,m/s
GPS-L-015,GPS航迹角第一部分_加,°
GPS-L-016,GPS航迹角第二部分_加,°
GPS-L-017,GPS北向速度_加,m/s
GPS-L-020,GPS东向速度_加,m/s
GSpeed_vote,地速表决值,km/h
HECU-A-L-373-11,电动泵1开关断开位,
HECU-A-L-373-12,电动泵1开关接通位,
HECU-A-L-373-13,电动泵1开关自动位,
HECU-A-L-373-14,电动泵2开关断开位,
HECU-A-L-373-15,电动泵2开关接通位,
HECU-A-L-373-16,电动泵2开关自动位,
HECU-A-L-373-17,电动泵3开关断开位,
HECU-A-L-373-18,电动泵3开关接通位,
HECU-A-L-373-19,电动泵3开关自动位,
HECU-A-L-373-20,HECU给电动泵1通断电,
HECU-A-L-373-21,HECU给电动泵2通断电,
HECU-A-L-373-22,HECU给电动泵3通断电,
HECU-A-L-373-23,HECU采集的EDP1低压,
HECU-A-L-373-24,HECU采集的EDP2低压,
HECU-A-L-373-25,HECU采集的EDP3低压,
HECU-A-L-373-26,HECU采集的EDP4低压,
HECU-A-L-374-11TO14,电动泵1转速值个位,
HECU-A-L-374-15TO18,电动泵1转速值十位,
HECU-A-L-374-19TO22,电动泵1转速值百位,
HECU-A-L-374-23TO26,电动泵1转速值千位,
HECU-A-L-374-27TO29,电动泵1转速值万位,
HECU-A-L-375-11TO14,电动泵2转速值个位,
HECU-A-L-375-15TO18,电动泵2转速值十位,
HECU-A-L-375-19TO22,电动泵2转速值百位,
HECU-A-L-375-23TO26,电动泵2转速值千位,
HECU-A-L-375-27TO29,电动泵2转速值万位,
HECU-A-L-376-11TO14,电动泵3转速值个位,
HECU-A-L-376-15TO18,电动泵3转速值十位,
HECU-A-L-376-19TO22,电动泵3转速值百位,
HECU-A-L-376-23TO26,电动泵3转速值千位,
HECU-A-L-376-27TO29,电动泵3转速值万位,
Hp_vote,气压高度表决值,m
IRU1004-L-310,纬度_I1,°
IRU1004-L-311,经度_I1,°
IRU1004-L-312,地速_I1,km/h
IRU1004-L-313,真航迹角_I1,°
IRU1004-L-314,真航向_I1,°
IRU1004-L-315,风速_I1,km/h
IRU1004-L-316,风向_I1,°
IRU1004-L-317,磁航迹角_I1,°
IRU1004-L-320,磁航向_I1,°
IRU1004-L-321,偏流角_I1,°
IRU1004-L-322,飞行航径角_I1,°
IRU1004-L-324,俯仰角_I1,°
IRU1004-L-325,滚转角_I1,°
IRU1004-L-326,俯仰角速度_I1,°/s
IRU1004-L-327,滚转角速度_I1,°/s
IRU1004-L-330,偏航角速度_I1,°/s
IRU1004-L-331,纵向过载_I1,g
IRU1004-L-332,侧向过载_I1,g
IRU1004-L-333,法向过载_I1,g
IRU1004-L-336,俯仰角变化率_I1,°/s
IRU1004-L-337,横滚角变化率_I1,°/s
IRU1004-L-340,航向角变化率_I1,°/s
IRU1004-L-365,天向速度_I1,m/s
IRU1004-L-366,北向速度_I1,km/h
IRU1004-L-367,东向速度_I1,km/h
IRU2004-L-312,地速_I2,km/h
IRU2004-L-313,真航迹角_I2,°
IRU2004-L-314,真航向_I2,°
IRU2004-L-315,风速_I2,km/h
IRU2004-L-316,风向_I2,°
IRU2004-L-317,磁航迹角_I2,°
IRU2004-L-320,磁航向_I2,°
IRU2004-L-321,偏流角_I2,°
IRU2004-L-322,飞行航径角_I2,°
IRU2004-L-324,俯仰角_I2,°
IRU2004-L-325,滚转角_I2,°
IRU2004-L-326,俯仰角速度_I2,°/s
IRU2004-L-327,滚转角速度_I2,°/s
IRU2004-L-330,偏航角速度_I2,°/s
IRU2004-L-331,纵向过载_I2,g
IRU2004-L-332,侧向过载_I2,g
IRU2004-L-333,法向过载_I2,g
IRU2004-L-336,俯仰角变化率_I2,°/s
IRU2004-L-337,横滚角变化率_I2,°/s
IRU2004-L-340,航向角变化率_I2,°/s
IRU2004-L-365,天向速度_I2,m/s
IRU2004-L-366,北向速度_I2,km/h
IRU2004-L-367,东向速度_I2,km/h
ISI001-L-203,气压高度_ISI,m
ISI001-L-204,修正高度_ISI,m
ISI001-L-205,马赫数_ISI,
ISI001-L-206,指示空速_ISI,km/h
ISI001-L-212,升降速度_ISI,m/s
ISI001-L-234,气压装订_ISI,hPa
ISI001-L-324,俯仰角_ISI,°
ISI001-L-325,滚转角_ISI,°
ISI001-L-326,俯仰角速度_ISI,°/s
ISI001-L-327,滚转角速度_ISI,°/s
ISI001-L-330,偏航角速度_ISI,°/s
L041_Engine_1_Fuel_INS_Consume,1发燃油流量,kg/h
L042_Engine_2_Fuel_INS_Consume,2发燃油流量,kg/h
L043_Engine_3_Fuel_INS_Consume,3发燃油流量,kg/h
L044_Engine_4_Fuel_INS_Consume,4发燃油流量,kg/h
L047_Engine_1_Fuel_Total_Consume,1发燃油耗量,kg
L050_Engine_2_Fuel_Total_Consume,2发燃油耗量,kg
L051_Engine_3_Fuel_Total_Consume,3发燃油耗量,kg
L052_Engine_4_Fuel_Total_Consume,4发燃油耗量,kg
LJY_vote,左襟翼表决值,°
LS1_1,ACE1工作模式,
LS1_2,ACE2工作模式,
LS1_3,ACE3工作模式,
LS1_4,ACE4工作模式,
LS1_5,ACE1工作状态,
LS1_6,ACE2工作状态,
LS1_7,ACE3工作状态,
LS1_8,ACE4工作状态,
LS3_1,飞控模式开关,
LS3_2,襟翼状态开关,
LS3_3,轮载信号,
LS3_5,控制律地面使能,
LS6_10,拉平启动,
LS6_2,高迎角保护启动,
LS6_3,俯仰角保护启动,
LS6_4,滚转角保护启动,
LS6_5,高速保护启动,
LS6_6,松盘坡度保持,
LS6_9,松杆俯仰角保持,
L_PDU001-L-001,1号直流电压,
L_PDU001-L-002,2号直流电压,
L_PDU001-L-003,3号直流电压,
L_PDU001-L-004,4号直流电压,
L_PDU001-L-005,1号直流电流,
L_PDU001-L-006,2号直流电流,
L_PDU001-L-007,3号直流电流,
L_PDU001-L-010,4号直流电流,
L_PDU001-L-011,1号交流电压,
L_PDU001-L-012,1号交流电流,
L_PDU001-L-013,2号交流电压,
L_PDU001-L-014,2号交流电流,
L_PDU001-L-015,1号交流频率,
L_PDU001-L-016,2号交流频率,
L_PDU001-L-017,左中央汇流条电压,
L_PDU001-L-020,左应急汇流条电压,
L_PDU001-L-021,1号蓄电池温度,
L_PDU001-L-022,1号蓄电池电压,
L_PDU001-L-023,1号蓄电池工作电流,
L_PDU001-L-024,1号蓄电池充电电流,
L_PDU001-L-025,28V地面电源电压,
L_PDU001-L-026,28V地面电源电流,
L_PDU001-L-027,交流汇流条1电压,
L_PDU001-L-030,交流汇流条2电压,
L_PDU001-L-031,1发左起动电流,
L_PDU001-L-032,1发右起动电流,
L_PDU001-L-033,2发左起动电流,
L_PDU001-L-034,2发右起动电流,
L_PDU001-L-035,3发左起动电流,
L_PDU001-L-036,3发右起动电流,
L_PDU001-L-037,4发左起动电流,
L_PDU001-L-040,4发右起动电流,
L_PDU001-L-041,1发起动电流差,
L_PDU001-L-042,2发起动电流差,
L_PDU001-L-043,3发起动电流差,
L_PDU001-L-044,4发起动电流差,
L_PDU001-L-045,APU发电机电压,
L_PDU001-L-046,APU发电机供电电流,
L_PDU001-L-047,APU起动电流,
L_PDU001-L-050,起动汇流条电压,
L_PDU001-L-051,115V地面电源电压,
L_PDU001-L-052,115V地面电源电流,
L_PDU001-L-053,115V地面电源频率,
Ma_vote,马赫数表决值,
NX1,纵向过载_加,g
NXP,驾驶舱纵向过载,
NY1,侧向过载_加,g
NYP,驾驶舱侧向过载,
NZ1,法向过载_加,g
NZP,驾驶舱法向过载,
Ny_vote,侧向过载表决值,
Nz_vote,法向过载表决值,
PA_L,左液压源吸油压力,
PA_M1,左侧中液压源吸油压力,
PA_R,右液压源吸油压力,
PBR_A_IN,内对轮刹车蓄压器压力,
PBR_A_OUT,外对轮刹车蓄压器压力,
PDCU1001-L-270-11,PDCU1,
PDCU1001-L-270-12,PDCU1电源,
PDCU1001-L-270-13,PDCU1传感器,
PDCU1001-L-270-14,PDCU1传感器通道,
PDCU1001-L-270-15,PDCU1传感器合理性,
PDCU1001-L-270-16,PDCU1驱动输出,
PDCU1001-L-270-17,PDCU1离散量输出,
PDCU1001-L-270-18,PDCU1RS422总线,
PDCU1001-L-270-19,PDCU2,
PDCU1001-L-270-20,PDCU2电源,
PDCU1001-L-270-21,PDCU2传感器,
PDCU1001-L-270-22,PDCU2传感器通道,
PDCU1001-L-270-23,PDCU2传感器合理性,
PDCU1001-L-270-24,PDCU2驱动输出,
PDCU1001-L-270-25,PDCU2离散量输出,
PDCU1001-L-270-26,PDCU2RS422总线,
PDCU1001-L-270-27,起落架收,
PDCU1001-L-270-28,起落架正常放,
PDCU1001-L-271-11,前起舱门上到位,
PDCU1001-L-271-12,前起舱门下到位,
PDCU1001-L-271-13,前起上到位,
PDCU1001-L-271-14,前起下到位,
PDCU1001-L-271-15,左起上到位,
PDCU1001-L-271-16,左起下位锁,
PDCU1001-L-271-17,右起上到位,
PDCU1001-L-271-18,右起下位锁,
PDCU1001-L-271-19,前起轮载,
PDCU1001-L-271-20,左起轮载,
PDCU1001-L-271-21,右起轮载,
PDCU1001-L-271-22,主起轮载,
PDCU1001-L-271-23,左起下到位,
PDCU1001-L-271-24,右起下到位,
PDCU1001-L-271-25,左主起下位锁开锁,
PDCU1001-L-271-26,右主起下位锁开锁,
PDCU1001-L-271-27,起落架收指令,
PDCU1001-L-271-28,起落架放指令,
PDCU1001-L-272-11,前起上位锁左传感器1,
PDCU1001-L-272-12,前起上位锁右传感器2,
PDCU1001-L-272-13,前起下位锁左传感器1,
PDCU1001-L-272-14,前起下位锁右传感器2,
PDCU1001-L-272-15,前起舱门前上位锁锁键前传感器1,
PDCU1001-L-272-16,前起舱门前上位锁锁键后传感器2,
PDCU1001-L-272-17,前起舱门前上位锁锁钩前传感器1,
PDCU1001-L-272-18,前起舱门前上位锁锁钩后传感器2,
PDCU1001-L-272-19,前起舱门后上位锁锁钩前传感器2,
PDCU1001-L-272-20,前起舱门后上位锁锁钩后传感器1,
PDCU1001-L-272-21,前起舱门后上位锁锁键前传感器2,
PDCU1001-L-272-22,前起舱门后上位锁锁键后传感器1,
PDCU1001-L-272-23,前起左舱门下到位前传感器1,
PDCU1001-L-272-24,前起左舱门下到位后传感器2,
PDCU1001-L-272-25,前起右舱门下到位前传感器1,
PDCU1001-L-272-26,前起右舱门下到位后传感器2,
PDCU1001-L-272-27,前起轮载左传感器1,
PDCU1001-L-272-28,前起轮载右传感器2,
PDCU1001-L-272-29,左主起上位锁前传感器1,
PDCU1001-L-273-11,左主起上位锁后传感器2,
PDCU1001-L-273-12,左主起下位锁前锁前传感器1,
PDCU1001-L-273-13,左主起下位锁前锁后传感器2,
PDCU1001-L-273-14,左主起下位锁后锁前传感器1,
PDCU1001-L-273-15,左主起下位锁后锁后传感器2,
PDCU1001-L-273-16,左主起下到位上传感器1,
PDCU1001-L-273-17,左主起下到位下传感器2,
PDCU1001-L-273-18,左主起下位锁开锁前锁前传感器1,
PDCU1001-L-273-19,左主起下位锁开锁前锁后传感器2,
PDCU1001-L-273-20,左主起下位锁开锁后锁前传感器1,
PDCU1001-L-273-21,左主起下位锁开锁后锁后传感器2,
PDCU1001-L-273-22,左主起轮载内传感器1,
PDCU1001-L-273-23,左主起轮载外传感器2,
PDCU1001-L-273-24,右主起上位锁前传感器1,
PDCU1001-L-273-25,右主起上位锁后传感器2,
PDCU1001-L-273-26,右主起下位锁前锁前传感器1,
PDCU1001-L-273-27,右主起下位锁前锁后传感器2,
PDCU1001-L-273-28,右主起下到位上传感器1,
PDCU1001-L-273-29,右主起下到位下传感器2,
PDCU1001-L-274-11,右主起下位锁后锁前传感器1,
PDCU1001-L-274-12,右主起下位锁后锁后传感器2,
PDCU1001-L-274-13,右主起下位锁开锁前锁前传感器1,
PDCU1001-L-274-14,右主起下位锁开锁前锁后传感器2,
PDCU1001-L-274-15,右主起下位锁开锁后锁前传感器1,
PDCU1001-L-274-16,右主起下位锁开锁后锁后传感器2,
PDCU1001-L-274-17,右主起轮载内传感器1,
PDCU1001-L-274-18,右主起轮载外传感器2,
PDCU1001-L-274-19,主起落架收放电磁阀,
PDCU1001-L-274-20,前起落架收放电磁阀,
PDCU1001-L-274-21,主起下位锁收放电磁阀,
PDCU1001-L-274-22,前起舱门收放电磁阀,
PDCU1001-L-274-23,起落架液压源切换阀,
PDCU1001-L-275-11,前起上位锁左传感器1自检,
PDCU1001-L-275-12,前起上位锁右传感器2自检,
PDCU1001-L-275-13,前起下位锁左传感器1自检,
PDCU1001-L-275-14,前起下位锁右传感器2自检,
PDCU1001-L-275-15,前起舱门前上位锁锁键前传感器1自检,
PDCU1001-L-275-16,前起舱门前上位锁锁键后传感器2自检,
PDCU1001-L-275-17,前起舱门前上位锁锁钩前传感器1自检,
PDCU1001-L-275-18,前起舱门前上位锁锁钩后传感器2自检,
PDCU1001-L-275-19,前起舱门后上位锁锁钩前传感器2自检,
PDCU1001-L-275-20,前起舱门后上位锁锁钩后传感器1自检,
PDCU1001-L-275-21,前起舱门后上位锁锁键前传感器2自检,
PDCU1001-L-275-22,前起舱门后上位锁锁键后传感器1自检,
PDCU1001-L-275-23,前起左舱门下到位前传感器1自检,
PDCU1001-L-275-24,前起左舱门下到位后传感器2自检,
PDCU1001-L-275-25,前起右舱门下到位前传感器1自检,
PDCU1001-L-275-26,前起右舱门下到位后传感器2自检,
PDCU1001-L-275-27,前起轮载左传感器1自检,
PDCU1001-L-275-28,前起轮载右传感器2自检,
PDCU1001-L-275-29,左主起上位锁前传感器1自检,
PDCU1001-L-276-11,左主起上位锁后传感器2自检,
PDCU1001-L-276-12,左主起下位锁前锁前传感器1自检,
PDCU1001-L-276-13,左主起下位锁前锁后传感器2自检,
PDCU1001-L-276-14,左主起下位锁后锁前传感器1自检,
PDCU1001-L-276-15,左主起下位锁后锁后传感器2自检,
PDCU1001-L-276-16,左主起下到位上传感器1自检,
PDCU1001-L-276-17,左主起下到位下传感器2自检,
PDCU1001-L-276-18,左主起下位锁开锁前锁前传感器1自检,
PDCU1001-L-276-19,左主起下位锁开锁前锁后传感器2自检,
PDCU1001-L-276-20,左主起下位锁开锁后锁前传感器1自检,
PDCU1001-L-276-21,左主起下位锁开锁后锁后传感器2自检,
