原始名称,中文名称,单位
PDCU1001-L-276-22,左主起轮载内传感器1自检,
PDCU1001-L-276-23,左主起轮载外传感器2自检,
PDCU1001-L-276-24,右主起上位锁前传感器1自检,
PDCU1001-L-276-25,右主起上位锁后传感器2自检,
PDCU1001-L-276-26,右主起下位锁前锁前传感器1自检,
PDCU1001-L-276-27,右主起下位锁前锁后传感器2自检,
PDCU1001-L-276-28,右主起下到位上传感器1自检,
PDCU1001-L-276-29,右主起下到位下传感器2自检,
PDCU1001-L-350-11,右主起下位锁后锁前传感器1自检,
PDCU1001-L-350-12,右主起下位锁后锁后传感器2自检,
PDCU1001-L-350-13,右主起下位锁开锁前锁前传感器1自检,
PDCU1001-L-350-14,右主起下位锁开锁前锁后传感器2自检,
PDCU1001-L-350-15,右主起下位锁开锁后锁前传感器1自检,
PDCU1001-L-350-16,右主起下位锁开锁后锁后传感器2自检,
PDCU1001-L-350-17,右主起轮载内传感器1自检,
PDCU1001-L-350-18,右主起轮载外传感器2自检,
PDCU1001-L-350-19,主起落架收放电磁阀自检,
PDCU1001-L-350-20,前起落架收放电磁阀自检,
PDCU1001-L-350-21,主起下位锁收放电磁阀自检,
PDCU1001-L-350-22,前起舱门收放电磁阀自检,
PDCU1001-L-350-23,起落架液压源切换阀自检,
PDCU2001-L-270-11,PDCU1,
PDCU2001-L-270-12,PDCU1电源,
PDCU2001-L-270-13,PDCU1传感器,
PDCU2001-L-270-14,PDCU1传感器通道,
PDCU2001-L-270-15,PDCU1传感器合理性,
PDCU2001-L-270-16,PDCU1驱动输出,
PDCU2001-L-270-17,PDCU1离散量输出,
PDCU2001-L-270-18,PDCU1RS422总线,
PDCU2001-L-270-19,PDCU2,
PDCU2001-L-270-20,PDCU2电源,
PDCU2001-L-270-21,PDCU2传感器,
PDCU2001-L-270-22,PDCU2传感器通道,
PDCU2001-L-270-23,PDCU2传感器合理性,
PDCU2001-L-270-24,PDCU2驱动输出,
PDCU2001-L-270-25,PDCU2离散量输出,
PDCU2001-L-270-26,PDCU2RS422总线,
PDCU2001-L-270-27,起落架收,
PDCU2001-L-270-28,起落架正常放,
PDCU2001-L-271-11,前起舱门上到位,
PDCU2001-L-271-12,前起舱门下到位,
PDCU2001-L-271-13,前起上到位,
PDCU2001-L-271-14,前起下到位,
PDCU2001-L-271-15,左主起上到位,
PDCU2001-L-271-16,左主起下到位锁定,
PDCU2001-L-271-17,右主起上到位,
PDCU2001-L-271-18,右主起下到位锁定,
PDCU2001-L-271-19,前起轮载状态,
PDCU2001-L-271-20,左主起轮载状态,
PDCU2001-L-271-21,右主起轮载状态,
PDCU2001-L-271-22,主起轮载状态,
PDCU2001-L-271-23,左主起下到位,
PDCU2001-L-271-24,右主起下到位,
PDCU2001-L-271-25,左主起下位锁开锁,
PDCU2001-L-271-26,右主起下位锁开锁,
PDCU2001-L-271-27,起落架收,
PDCU2001-L-271-28,起落架放,
PDCU2001-L-272-11,前起上位锁左传感器1,
PDCU2001-L-272-12,前起上位锁右传感器2,
PDCU2001-L-272-13,前起下位锁左传感器1,
PDCU2001-L-272-14,前起下位锁右传感器2,
PDCU2001-L-272-15,前起舱门前上位锁锁键前传感器1,
PDCU2001-L-272-16,前起舱门前上位锁锁键后传感器2,
PDCU2001-L-272-17,前起舱门前上位锁锁钩前传感器1,
PDCU2001-L-272-18,前起舱门前上位锁锁钩后传感器2,
PDCU2001-L-272-19,前起舱门后上位锁锁钩前传感器2,
PDCU2001-L-272-20,前起舱门后上位锁锁钩后传感器1,
PDCU2001-L-272-21,前起舱门后上位锁锁键前传感器2,
PDCU2001-L-272-22,前起舱门后上位锁锁键后传感器1,
PDCU2001-L-272-23,前起左舱门下到位前传感器1,
PDCU2001-L-272-24,前起左舱门下到位后传感器2,
PDCU2001-L-272-25,前起右舱门下到位前传感器1,
PDCU2001-L-272-26,前起右舱门下到位后传感器2,
PDCU2001-L-272-27,前起轮载左传感器1,
PDCU2001-L-272-28,前起轮载右传感器2,
PDCU2001-L-272-29,左主起上位锁前传感器1,
PDCU2001-L-273-11,左主起上位锁后传感器2,
PDCU2001-L-273-12,左主起下位锁前锁前传感器1,
PDCU2001-L-273-13,左主起下位锁前锁后传感器2,
PDCU2001-L-273-14,左主起下位锁后锁前传感器1,
PDCU2001-L-273-15,左主起下位锁后锁后传感器2,
PDCU2001-L-273-16,左主起下到位上传感器1,
PDCU2001-L-273-17,左主起下到位下传感器2,
PDCU2001-L-273-18,左主起下位锁开锁前锁前传感器1,
PDCU2001-L-273-19,左主起下位锁开锁前锁后传感器2,
PDCU2001-L-273-20,左主起下位锁开锁后锁前传感器1,
PDCU2001-L-273-21,左主起下位锁开锁后锁后传感器2,
PDCU2001-L-273-22,左主起轮载内传感器1,
PDCU2001-L-273-23,左主起轮载外传感器2,
PDCU2001-L-273-24,右主起上位锁前传感器1,
PDCU2001-L-273-25,右主起上位锁后传感器2,
PDCU2001-L-273-26,右主起下位锁前锁前传感器1,
PDCU2001-L-273-27,右主起下位锁前锁后传感器2,
PDCU2001-L-273-28,右主起下到位上传感器1,
PDCU2001-L-273-29,右主起下到位下传感器2,
PDCU2001-L-274-11,右主起下位锁后锁前传感器1,
PDCU2001-L-274-12,右主起下位锁后锁后传感器2,
PDCU2001-L-274-13,右主起下位锁开锁前锁前传感器1,
PDCU2001-L-274-14,右主起下位锁开锁前锁后传感器2,
PDCU2001-L-274-15,右主起下位锁开锁后锁前传感器1,
PDCU2001-L-274-16,右主起下位锁开锁后锁后传感器2,
PDCU2001-L-274-17,右主起轮载内传感器1,
PDCU2001-L-274-18,右主起轮载外传感器2,
PDCU2001-L-274-19,主起落架收放电磁阀,
PDCU2001-L-274-20,前起落架收放电磁阀,
PDCU2001-L-274-21,主起下位锁收放电磁阀,
PDCU2001-L-274-22,前起舱门收放电磁阀,
PDCU2001-L-274-23,起落架液压源切换阀,
PDCU2001-L-275-11,前起上位锁左传感器1自检,
PDCU2001-L-275-12,前起上位锁右传感器2自检,
PDCU2001-L-275-13,前起下位锁左传感器1自检,
PDCU2001-L-275-14,前起下位锁右传感器2自检,
PDCU2001-L-275-15,前起舱门前上位锁锁键前传感器1自检,
PDCU2001-L-275-16,前起舱门前上位锁锁键后传感器2自检,
PDCU2001-L-275-17,前起舱门前上位锁锁钩前传感器1自检,
PDCU2001-L-275-18,前起舱门前上位锁锁钩后传感器2自检,
PDCU2001-L-275-19,前起舱门后上位锁锁钩前传感器2自检,
PDCU2001-L-275-20,前起舱门后上位锁锁钩后传感器1自检,
PDCU2001-L-275-21,前起舱门后上位锁锁键前传感器2自检,
PDCU2001-L-275-22,前起舱门后上位锁锁键后传感器1自检,
PDCU2001-L-275-23,前起左舱门下到位前传感器1自检,
PDCU2001-L-275-24,前起左舱门下到位后传感器2自检,
PDCU2001-L-275-25,前起右舱门下到位前传感器1自检,
PDCU2001-L-275-26,前起右舱门下到位后传感器2自检,
PDCU2001-L-275-27,前起轮载左传感器1自检,
PDCU2001-L-275-28,前起轮载右传感器2自检,
PDCU2001-L-275-29,左主起上位锁前传感器1自检,
PDCU2001-L-276-11,左主起上位锁后传感器2自检,
PDCU2001-L-276-12,左主起下位锁前锁前传感器1自检,
PDCU2001-L-276-13,左主起下位锁前锁后传感器2自检,
PDCU2001-L-276-14,左主起下位锁后锁前传感器1自检,
PDCU2001-L-276-15,左主起下位锁后锁后传感器2自检,
PDCU2001-L-276-16,左主起下到位上传感器1自检,
PDCU2001-L-276-17,左主起下到位下传感器2自检,
PDCU2001-L-276-18,左主起下位锁开锁前锁前传感器1自检,
PDCU2001-L-276-19,左主起下位锁开锁前锁后传感器2自检,
PDCU2001-L-276-20,左主起下位锁开锁后锁前传感器1自检,
PDCU2001-L-276-21,左主起下位锁开锁后锁后传感器2自检,
PDCU2001-L-276-22,左主起轮载内传感器1自检,
PDCU2001-L-276-23,左主起轮载外传感器2自检,
PDCU2001-L-276-24,右主起上位锁前传感器1自检,
PDCU2001-L-276-25,右主起上位锁后传感器2自检,
PDCU2001-L-276-26,右主起下位锁前锁前传感器1自检,
PDCU2001-L-276-27,右主起下位锁前锁后传感器2自检,
PDCU2001-L-276-28,右主起下到位上传感器1自检,
PDCU2001-L-276-29,右主起下到位下传感器2自检,
PDCU2001-L-350-11,右主起下位锁后锁前传感器1自检,
PDCU2001-L-350-12,右主起下位锁后锁后传感器2自检,
PDCU2001-L-350-13,右主起下位锁开锁前锁前传感器1自检,
PDCU2001-L-350-14,右主起下位锁开锁前锁后传感器2自检,
PDCU2001-L-350-15,右主起下位锁开锁后锁前传感器1自检,
PDCU2001-L-350-16,右主起下位锁开锁后锁后传感器2自检,
PDCU2001-L-350-17,右主起轮载内传感器1自检,
PDCU2001-L-350-18,右主起轮载外传感器2自检,
PDCU2001-L-350-19,主起落架收放电磁阀自检,
PDCU2001-L-350-20,前起落架收放电磁阀自检,
PDCU2001-L-350-21,主起下位锁收放电磁阀自检,
PDCU2001-L-350-22,前起舱门收放电磁阀自检,
PDCU2001-L-350-23,起落架液压源切换阀自检,
PDWHP,汲水斗控制阀伸出口压力,
PDWRP,汲水斗控制阀收回口压力,
PEF_A,应急顺桨蓄压器压力,
PEf1,应急顺浆切断活门出口压力（左内发,
PEf2,应急顺浆切断活门出口压力（左外发,
PFLGDRC,前起舱门关闭压力,
PFLGDSC,前起舱门打开压力,
PFLGRC,前起收上腔压力,
PFLGSC,前起放下腔压力,
PLABI_I,左内副翼入口压力,
PLABI_O,左外副翼入口压力,
PLABO_I,左内副翼出口压力,
PLABO_O,左外副翼出口压力,
PLEBI_I,左内升降舵入口压力,
PLEBI_O,左外升降舵入口压力,
PLEBO_I,左内升降舵出口压力,
PLFI,左侧襟翼收放系统入口压力,
PLFO,左侧襟翼收放系统出口压力,
PLM_LGRC,左主起收上腔压力,
PLM_LGSC,左主起放下腔压力,
PLSI_I,左内扰流片入口压力,
PLSI_M,左中扰流片入口压力,
PLSI_O,左外扰流片入口压力,
PMCIS_1,1发水箱内侧机构控制阀伸出口压力,
PMCIS_4,4发水箱内侧机构控制阀伸出口压力,
PMCOS_1,1发水箱外侧机构控制阀伸出口压力,
PMCOS_4,4发水箱外侧机构控制阀伸出口压力,
PMLG,主起应急放气源压力,
PN,起落架应急气源压力,
PNLG,前起应急放气源压力,
PNWS1,前轮转弯工作管路1压力,
PNWS2,前轮转弯工作管路2压力,
POSSEN1001-L-017-11TO20,水量传感器1,
POSSEN2001-L-017-11TO20,水量传感器2,
POSSEN3001-L-017-11TO20,水量传感器3,
POSSEN4001-L-017-11TO20,水量传感器4,
POSSEN5001-L-017-11TO20,水量传感器5,
POSSEN6001-L-017-11TO20,水量传感器6,
POSSEN7001-L-017-11TO20,水量传感器7,
POSSEN8001-L-017-11TO20,水量传感器8,
PPO_EMP1,EMP1泵出口压力,
PPO_EMP2,EMP2泵出口压力,
PPO_EMP3,EMP3泵出口压力,
PPO_L,左液压源泵出口压力,
PPO_M1,左侧中液压源泵出口压力,
PPO_R,右液压源泵出口压力,
PRABI_I,右内副翼入口压力,
PRABI_O,右外副翼入口压力,
PRABO_I,右内副翼出口压力,
PRABO_O,右外副翼出口压力,
PRATO,RAT泵出口压力,
PRBI_D,方向舵（下）入口压力,
PRBI_M,方向舵（中）入口压力,
PRBI_Up,方向舵（上）入口压力,
PRBO_D,方向舵（下）出口压力,
PRBO_M,方向舵（中）出口压力,
PRBO_Up,方向舵（上）出口压力,
PREBI_I,右内升降舵入口压力,
PREBI_O,右外升降舵入口压力,
PREBO_I,右内升降舵出口压力,
PRFI,右侧襟翼收放系统入口压力,
PRFO,右侧襟翼收放系统出口压力,
PRM_LGRC,右主起收上腔压力,
PRM_LGSC,右主起放下腔压力,
PRS,滚转角速度_加,°/s
PRSI_I,右内扰流片入口压力,
PRSI_M,右中扰流片入口压力,
PRSI_O,右外扰流片入口压力,
PSR_L,左液压源壳体回油压力,
PSR_M1,左侧中液压源壳体回油压力,
PSR_R,右液压源壳体回油压力,
PTWAP,投水收放系统气压管路压力,
PWAH,水舵伺服控制阀进油口压力,
PWAR,水舵伺服控制阀回油口压力,
PWPREIN,内对轮应急刹车压力,
PWPRELL1,左外正常刹车压力,bar
PWPRELR1,左内正常刹车压力,bar
PWPREOUT,外对轮应急刹车压力,
PWPRERL1,右内正常刹车压力,bar
PWPRERR1,右外正常刹车压力,bar
QRS,俯仰角速度_加,°/s
RA1001-L-132,无线电高度1,m
RA1001-L-164,RA1无线高度,m
RA2001-L-132,无线电高度2,m
RA2001-L-164,RA2无线高度,m
RDC1001-L-272-11,1发发动机起动状态,
RDC1001-L-272-12,2发发动机起动状态,
RDC1001-L-272-13,3发发动机起动状态,
RDC1001-L-272-14,4发发动机起动状态,
RDC1001-L-310,横向配平位置信号电压,V
RDC1001-L-311,航向配平位置信号电压,V
RDC1001-L-312,纵向配平位置信号电压,V
RDC1001-L-314,机组氧气温度信号1,°C
RDC1001-L-315,机组氧气压力信号1,MPa
RDC1001-L-330,1发油门杆,
RDC1001-L-331,2发油门杆,
RDC1001-L-332,3发油门杆,
RDC1001-L-333,4发油门杆,
RDC2001-L-314,机组氧气温度信号2,°C
RDC2001-L-315,机组氧气压力信号,MPa
RDC3001-L-270-11,1发负拉力,
RDC3001-L-270-12,2发负拉力,
RDC3001-L-270-13,1发中距限动,
RDC3001-L-270-14,2发中距限动,
RDC3001-L-270-15,1发回桨,
RDC3001-L-270-16,2发回桨,
RDC3001-L-270-17,1发顺桨准备好,
RDC3001-L-270-18,2发顺桨准备好,
RDC3001-L-270-19,1发顺桨,
RDC3001-L-270-20,2发顺桨,
RDC3001-L-270-21,1发故障,
RDC3001-L-270-22,2发故障,
RDC3001-L-270-23,1发细油滤信号堵塞指示,
RDC3001-L-270-24,2发细油滤信号堵塞指示,
RDC3001-L-270-25,1发振动告警,
RDC3001-L-270-26,2发振动告警,
RDC3001-L-271-11,1发进气导向叶片结冰,
RDC3001-L-271-12,2发进气导向叶片结冰,
RDC3001-L-271-13,1#防冰引气接通,
RDC3001-L-271-14,2#防冰引气接通,
RDC3001-L-271-16,1发点火状态,
RDC3001-L-271-17,2发点火状态,
RDC3001-L-271-24,1发滑油油量低,
RDC3001-L-271-25,2发滑油油量低,
RDC3001-L-271-26,3发滑油油量低,
RDC3001-L-271-27,4发滑油油量低,
RDC3001-L-300,1发转速,RPM
RDC3001-L-301,2发转速,RPM
RDC3001-L-306,内轮应急刹车压力,bar
RDC3001-L-307,外轮应急刹车压力,bar
RDC3001-L-315,1发高压燃油压力,MPa
RDC3001-L-316,2发高压燃油压力,MPa
RDC3001-L-317,1发低压燃油压力,MPa
RDC3001-L-320,2发低压燃油压力,MPa
RDC3001-L-323,1发油门,°
RDC3001-L-324,2发油门,°
RDC3001-L-325,1发发动机过载系数,
RDC3001-L-326,2发发动机过载系数,
RDC3001-L-327,1发扭矩压力,bar
RDC3001-L-330,2发扭矩压力,bar
RDC3001-L-331,1发滑油压力,MPa
RDC3001-L-332,2发滑油压力,MPa
RDC3001-L-333,1发滑油油量,L
RDC3001-L-334,2发滑油油量,L
RDC3001-L-335,1发风门位置,°
RDC3001-L-336,2发风门位置,°
RDC3001-L-356,1发发动机排气温度,°C
RDC3001-L-357,2发发动机排气温度,°C
RDC3001-L-360,1发滑油温度,°C
RDC3001-L-361,2发滑油温度,°C
RDC4001-L-323,1发油门,°
RDC4001-L-324,2发油门,°
RDC5001-L-271-11,3发负拉力,
RDC5001-L-271-12,4发负拉力,
RDC5001-L-271-13,3发中距限动,
RDC5001-L-271-14,4发中距限动,
RDC5001-L-271-15,3发回桨,
RDC5001-L-271-16,4发回桨,
RDC5001-L-271-17,3发顺桨准备好,
RDC5001-L-271-18,4发顺桨准备好,
RDC5001-L-271-19,3发顺桨,
RDC5001-L-271-20,4发顺桨,
RDC5001-L-271-21,3发故障,
RDC5001-L-271-22,4发故障,
RDC5001-L-271-23,3发进气导向叶片结冰,
RDC5001-L-271-24,4发进气导向叶片结冰,
RDC5001-L-271-25,3#防冰引气接通,
RDC5001-L-271-26,4#防冰引气接通,
RDC5001-L-274-11,1发引射电动活门关,
RDC5001-L-274-12,2发引射电动活门关,
RDC5001-L-274-13,3发引射电动活门关,
RDC5001-L-274-14,4发引射电动活门关,
RDC5001-L-303,3发转速,RPM
RDC5001-L-304,4发转速,RPM
RDC5001-L-315,3发高压燃油压力,MPa
RDC5001-L-316,4发高压燃油压力,MPa
RDC5001-L-317,3发低压燃油压力,MPa
RDC5001-L-320,4发低压燃油压力,MPa
RDC5001-L-323,3发油门,°
RDC5001-L-324,4发油门,°
RDC5001-L-325,3发发动机过载系数,
RDC5001-L-326,4发发动机过载系数,
RDC5001-L-331,3发滑油压力,MPa
RDC5001-L-332,4发滑油压力,MPa
RDC5001-L-333,3发滑油油量,L
RDC5001-L-334,4发滑油油量,L
RDC5001-L-335,3发风门位置,°
RDC5001-L-336,4发风门位置,°
RDC5001-L-337,4发扭矩压力,bar
RDC5001-L-343,3发油门,°
RDC5001-L-344,4发油门,°
RDC5001-L-356,3发排气温度,°C
RDC5001-L-357,4发排气温度,°C
RDC5001-L-360,3发滑油温度,°C
RDC5001-L-361,4发滑油温度,°C
RDC5001-L-367,3发扭矩压力,bar
RDC6001-L-323,3发油门,°
RDC7001-L-272-11,3发细油滤信号堵塞指示,
RDC7001-L-272-12,4发细油滤信号堵塞指示,
RDC7001-L-272-13,3发振动告警,
RDC7001-L-272-14,4发振动告警,
RDC7001-L-272-15,3发点火状态,
RDC7001-L-272-16,4发点火状态,
RDIU3007-L-324,2&4发油门角度F,°
RDIU4007-L-324,2&4发油门角度F,°
RDIU5006-L-261-11,液压泵1低压,
RDIU5006-L-261-12,液压泵4低压,
RDIU5006-L-270-13,液压泵2低压,
RDIU5006-L-270-14,液压泵3低压,
RDIU5006-L-307,左源压力,bar
RDIU5006-L-310,中源压力,bar
RDIU5006-L-364,右源压力,bar
RH_vote,无线电高度表决值,m
RIU1001-L-173,LOC偏差,DDM
RIU1001-L-174,GS偏差,DDM
RJY_vote,右襟翼表决值,°
RRS,偏航角速度_加,°/s
R_PDU001-L-001,5号直流电压,
R_PDU001-L-002,6号直流电压,
R_PDU001-L-003,7号直流电压,
R_PDU001-L-004,8号直流电压,
R_PDU001-L-005,5号直流电流,
R_PDU001-L-006,6号直流电流,
R_PDU001-L-007,7号直流电流,
R_PDU001-L-010,8号直流电流,
R_PDU001-L-011,3号交流电压,
R_PDU001-L-012,3号交流电流,
R_PDU001-L-013,4号交流电压,
R_PDU001-L-014,4号交流电流,
R_PDU001-L-015,3号交流频率,
R_PDU001-L-016,4号交流频率,
R_PDU001-L-017,右中央汇流条电压,
R_PDU001-L-020,右应急汇流条电压,
R_PDU001-L-021,2号蓄电池电压,
R_PDU001-L-022,2号蓄电池温度,
R_PDU001-L-023,2号蓄电池工作电流,
R_PDU001-L-024,2号蓄电池充电电流,
R_PDU001-L-025,飞控蓄电池电压,
R_PDU001-L-026,飞控蓄电池温度,
R_PDU001-L-027,飞控蓄电池工作电流,
R_PDU001-L-030,飞控蓄电池充电电流,
R_PDU001-L-031,交流汇流条3电压,
R_PDU001-L-032,交流汇流条4电压,
R_PDU001-L-033,飞控蓄电池汇流条电压,
SCU001-L-120,前轮偏角,°
SCU001-L-121,前轮指令,°
SCU001-L-125,脚蹬指令,mm
SCU001-L-126,左手轮指令,°
SCU001-L-127,右手轮指令,°
T3EP,3发短舱环境温度,
TA_L,EDP1吸油口温度,
TA_M1,EDP2吸油口温度,
TA_R,EDP4吸油口温度,
TB_FSB,后机身环境温度,
TDFH1,11框温度测点1,
TDFH2,11框温度测点2,
TDFH3,11框温度测点3,
TDH1,前环温度测点1,
TDH2,前环温度测点2,
TDH3,前环温度测点3,
TDWHP,汲水斗控制阀进油温度,
TDWRP,汲水斗控制阀回油温度,
TEBS01,应急刹车系统回油出口1温度,
TEBS02,应急刹车系统回油出口2温度,
TEBSI1,应急刹车系统供压入口1温度,
TEBSI2,应急刹车系统供压入口2温度,
TEDPS1,EDP1壳体表面温度,
TEMDPS1,EMDP1电机壳体温度,
TEMDPS2,EMDP2电机壳体温度,
TEMDPS3,EMDP3电机壳体温度,
TEfI,应急顺浆减压阀减压口温度,
TFHRI_1,燃油散热器1液压油入口温度,
TFHRI_2,燃油散热器2液压油入口温度,
TFHRI_4,燃油散热器4液压油入口温度,
TFHRO_1,燃油散热器1液压油出口温度,
TFHRO_2,燃油散热器2液压油出口温度,
TFHRO_4,燃油散热器4液压油出口温度,
TFLGC,前起落架舱环境温度,
TF_FSB,机头14~18框船底环境温度,
THA1,交流电机表面,
THA2,滑油箱表面温度测点2,
THA3,滑油箱表面温度测点3,
THD,风门电动机构温度测点,
THETAJ,静态俯仰角_加,°
THTBE,平尾后缘环境温度,
TIME,时间,
TJL,交流发电机温度测点1,
TLABI_I,左内副翼入口温度,
TLABI_O,左外副翼入口温度,
TLABO_I,左内副翼出口温度,
TLABO_O,左外副翼出口温度,
TLEBI_I,左内升降舵入口温度,
TLEBI_O,左外升降舵入口温度,
TLEBO_I,左内升降舵出口温度,
TLEBO_O,左外升降舵出口温度,
TLFI,左侧襟翼收放系统入口温度,
TLFO,左侧襟翼收放系统出口温度,
TLGRI,起落架收放入口温度,
TLGRI_B,起落架收放备份入口温度,
TLGRO,起落架收放出口温度,
TLGRO_B,起落架收放备份出口温度,
TLSI_I,左内扰流片入口温度,
TLSI_M,左中扰流片入口温度,
TLSI_O,左外扰流片入口温度,
TLSO_I,左内扰流片出口温度,
TLSO_M,左中扰流片出口温度,
TLSO_O,左外扰流片出口温度,
TMB_FSB,中后机身船底环境温度,
TMCIR_1,1发水箱内侧机构控制阀收上出口温度,
TMCIR_4,4发水箱内侧机构控制阀收上出口温度,
TMCIS_1,1发水箱内侧机构控制阀放下出口温度,
TMCIS_4,4发水箱内侧机构控制阀放下出口温度,
TMCOR_1,1发水箱外侧机构控制阀收上出口温度,
TMCOR_4,4发水箱外侧机构控制阀收上出口温度,
TMCOS_1,1发水箱外侧机构控制阀放下出口温度,
TMCOS_4,4发水箱外侧机构控制阀放下出口温度,
TMLGC,主起整流罩环境温度,
TM_FSB,中机身气密地板和工艺地板间环境温度,
TNBS01,正常刹车系统回油出口1温度,
TNBS02,正常刹车系统回油出口2温度,
TNBSI1,正常刹车系统供压入口1温度,
TNBSI2,正常刹车系统供压入口2温度,
TNWSI,前轮转弯供压入口温度,
TNWSO,前轮转弯回油出口温度,
TP1,排气管外壁温度测点1,
TP2,排气管外壁温度测点2,
TP3,排气管外壁温度测点3,
TPFA1,排气管防火墙温度测点1,
TPFA2,排气管防火墙温度测点2,
TPFQ1,排气管空腔温度测点1,
TPFQ2,排气管空腔温度测点2,
TPFQ3,排气管空腔温度测点3,
TPO_L,EDP1出油口温度,
TPO_M1,EDP2出油口温度,
TPO_R,EDP4出油口温度,
TRABI_I,右内副翼入口温度,
TRABI_O,右外副翼入口温度,
TRABO_I,右内副翼出口温度,
TRABO_O,右外副翼出口温度,
TRATI,RAT泵吸油口温度,
TRATO,RAT泵出口温度,
TRBI_D,方向舵（下）入口温度,
TRBI_M,方向舵（中）入口温度,
TRBI_Up,方向舵(上)入口温度,
TRBO_D,方向舵（下）出口温度,
TRBO_M,方向舵（中）出口温度,
TRBO_Up,方向舵(上)出口温度,
TREBI_I,右内升降舵入口温度,
TREBI_O,右外升降舵入口温度,
TREBO_I,右内升降舵出口温度,
TREBO_O,右外升降舵出口温度,
TRFI,右侧襟翼收放系统入口温度,
TRFO,右侧襟翼收放系统出口温度,
TRSCI_1,1发水箱内侧收放控制阀负载入口温度,
TRSCI_4,4发水箱内侧收放控制阀负载入口温度,
TRSCO_1,1发水箱外侧收放控制阀负载入口温度,
TRSCO_4,4发水箱外侧收放控制阀负载入口温度,
TRSI_I,右内扰流片入口温度,
TRSI_M,右中扰流片入口温度,
TRSI_O,右外扰流片入口温度,
TRSO_I,右内扰流片出口温度,
TRSO_M,右中扰流片出口温度,
TRSO_O,右外扰流片出口温度,
TSR_L,EDP1壳体回油温度,
TSR_M1,EDP2壳体回油温度,
TSR_R,EDP4壳体回油温度,
TVTBE,垂尾后缘环境温度,
TWAH,水舵伺服阀进油口温度,
TWAR,水舵伺服阀回油口温度,
TWBE,机翼后缘环境温度,
TWBH,翼身整流罩环境温度,
TWFE,机翼前缘环境温度,
TZL1,直流发电机1温度测点,
TZL2,直流发电机2温度测点,
Theta_vote,俯仰角表决值,°
VIB1,左驾航向振动_加,g
VIB2,左驾侧向振动_加,g
VIB3,左驾垂向振动_加,g
Vair_ADRU1,拖锥速度,km/h
Wx_DMRS_vote,滚转角速度DMRS,°/s
Wx_IRU_vote,滚转角速度表决值,°/s
Wy_DMRS_vote,俯仰角速度DMRS,°/s
Wy_IRU_vote,俯仰角速度表决值,°/s
Wz_DMRS_vote,偏航角速度DMRS,°/s
Wz_IRU_vote,偏航角速度表决值,°/s
afcu_mode_afcu,飞控备份状态,
ail_cmd_li,左副翼内作动器指令,mm
ail_cmd_lo,左副翼外作动器指令,mm
ail_cmd_ri,右副翼内作动器指令,mm
ail_cmd_ro,右副翼外作动器指令,mm
ail_integ_cmd,副翼分量指令,
ail_jf_cmd,副翼积分分量指令_2,
alf_jz1,迎角1,°
alf_jz2,迎角2,°
alf_jz3,迎角3,°
cap_whl_posn_vote,左驾盘位移,°
capt_col_posn_vote,左驾杆位移,mm
capt_pdl_posn_vote,左驾脚蹬位移,mm
col_posn_vote,驾驶杆位移,mm
elev_cmd_li,左升降舵内作动器指令,mm
elev_cmd_lo,左升降舵外作动器指令,mm
elev_cmd_ri,右升降舵内作动器指令,mm
elev_cmd_ro,右升降舵外作动器指令,mm
elev_integ_cmd,升降舵分量指令,
elev_jf_cmd,升降舵积分分量指令_2,
fcm1State2,FCM1控制模式,
fcm1State3,FCM1地面模式=,
fcm1State5,FCM1主备状态,
fcm2State2,FCM2控制模式,
fcm2State3,FCM2地面模式,
fcm2State5,FCM2主备状态,
fcm3State2,FCM3控制模式,
fcm3State3,FCM3地面模式,
fcm3State5,FCM3主备状态,
fcmState19,AP状态,
fcs_direct_mode1,飞控直接模式,
fo_col_posn_vote,右驾杆位移,mm
fo_pdl_posn_vote,右驾脚蹬位移,mm
fo_whl_posn_vote,右驾盘位移,°
lp1_li_cz_volt,左纵向力传感器1电压,
lp2_li_cz_volt,左纵向力传感器2电压,
lr1_li_cz_volt,左横向力传感器1电压,
lr2_li_cz_volt,左横向力传感器2电压,
ly1_li_cz_volt,左航向力传感器1电压,
ly2_li_cz_volt,左航向力传感器2电压,
pdl_posn_vote,脚蹬位移,mm
pfcs_afcs_off_warn,自驾仪断开,
pfcs_aoa_beyond_limit_warn,迎角超限,
pfcs_bank_prot_actv_warn,滚转角保护激活,
pfcs_hi_aoa_prot_actv_warn,高迎角保护激活,
pfcs_hi_spd_prot_actv_warn,高速保护激活,
pfcs_loss_of_aoa_prot_warn,丧失迎角保护,
pfcs_low_energy_warn,低能量告警,
pfcs_pitch_prot_actv_warn,俯仰角保护激活,
pfcs_sec_mode1,飞控降级模式,
pfcs_stall_warn,失速告警,
phi_vote,滚转角表决值,°
pitch_trim_cmd,俯仰配平使能,
rdu_cmd_low,方向舵下作动器指令,mm
rdu_cmd_mid,方向舵中作动器指令,mm
rdu_cmd_up,方向舵上作动器指令,mm
rdu_pos,方向舵位置,°
rp1_li_cz_volt,右纵向力传感器1电压,
rp2_li_hz_volt,右纵向力传感器2电压,
rr1_li_cz_volt,右横向力传感器1电压,
rr2_li_cz_volt,右横向力传感器2电压,
ry1_li_cz_volt,右航向力传感器1电压,
ry2_li_cz_volt,右航向力传感器2电压,
sd_cmd,水舵指令,
spl_cmd_l1,扰流片L1指令,mm
spl_cmd_l2,扰流片L2指令,mm
